epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,898.611,0.34935,0.43674,0.80202,0.91602,0.82071,0.86783,0.84025,0.33279,0.84798,0.82326,0.000165188,0.000165188,0.000165188
73,909.685,0.34358,0.438,0.7961,0.9221,0.81705,0.90303,0.87549,0.32965,0.82519,0.8238,0.000159683,0.000159683,0.000159683
74,920.936,0.35145,0.42633,0.80149,0.92481,0.80605,0.90336,0.87176,0.34249,0.79311,0.82244,0.000154179,0.000154179,0.000154179
75,932.17,0.34129,0.42075,0.79997,0.91349,0.80582,0.90336,0.87132,0.33124,0.83676,0.82564,0.000148674,0.000148674,0.000148674
76,943.351,0.33009,0.41783,0.8036,0.92518,0.80482,0.90303,0.87088,0.32975,0.79061,0.82829,0.00014317,0.00014317,0.00014317
77,954.468,0.34348,0.42329,0.80138,0.9536,0.80504,0.90821,0.87938,0.35281,0.75411,0.82896,0.000137666,0.000137666,0.000137666
78,965.642,0.34611,0.42167,0.79764,0.95576,0.81689,0.91046,0.88537,0.33857,0.70634,0.82958,0.000132161,0.000132161,0.000132161
79,976.715,0.33212,0.4185,0.79586,0.95114,0.81413,0.90821,0.87903,0.33612,0.71387,0.82601,0.000126657,0.000126657,0.000126657
80,987.915,0.3297,0.41322,0.79006,0.95161,0.81156,0.90036,0.87114,0.32996,0.74544,0.82206,0.000121152,0.000121152,0.000121152
81,999.078,0.34115,0.41504,0.80082,0.9465,0.80525,0.90036,0.87453,0.31409,0.77876,0.82045,0.000115648,0.000115648,0.000115648
82,1010.18,0.32747,0.41231,0.79997,0.94405,0.80969,0.90036,0.87266,0.31499,0.75901,0.82175,0.000110144,0.000110144,0.000110144
83,1021.3,0.33654,0.40568,0.80739,0.94105,0.81138,0.89551,0.85912,0.3134,0.74818,0.82059,0.000104639,0.000104639,0.000104639
84,1032.44,0.33357,0.4144,0.79969,0.93578,0.81198,0.89551,0.86782,0.3091,0.76791,0.81778,9.91348e-05,9.91348e-05,9.91348e-05
85,1043.6,0.3271,0.41246,0.80518,0.94203,0.81106,0.89593,0.86485,0.3198,0.77964,0.81989,9.36304e-05,9.36304e-05,9.36304e-05
86,1054.74,0.33093,0.40627,0.79828,0.93733,0.82028,0.89593,0.86454,0.31283,0.7609,0.81806,8.8126e-05,8.8126e-05,8.8126e-05
87,1065.91,0.32916,0.41003,0.79941,0.93734,0.8123,0.90134,0.86997,0.30456,0.72915,0.81851,8.26216e-05,8.26216e-05,8.26216e-05
88,1077.06,0.33376,0.41269,0.80469,0.92459,0.81004,0.9026,0.87343,0.31059,0.75204,0.81806,7.71172e-05,7.71172e-05,7.71172e-05
89,1088.18,0.33894,0.41785,0.80257,0.92164,0.82049,0.89957,0.87749,0.3224,0.77004,0.82173,7.16128e-05,7.16128e-05,7.16128e-05
90,1099.31,0.33179,0.40635,0.7907,0.91263,0.82811,0.89517,0.86757,0.31475,0.78801,0.82248,6.61084e-05,6.61084e-05,6.61084e-05
91,1113.07,0.28743,0.3975,0.77267,0.90933,0.82486,0.89551,0.86802,0.29899,0.78919,0.81896,6.0604e-05,6.0604e-05,6.0604e-05
92,1123.99,0.27418,0.39341,0.77387,0.89824,0.82107,0.8604,0.83291,0.29089,0.81122,0.81635,5.50996e-05,5.50996e-05,5.50996e-05
93,1134.9,0.27655,0.38645,0.7789,0.90991,0.83365,0.85915,0.82999,0.31728,0.78709,0.81707,4.95952e-05,4.95952e-05,4.95952e-05
94,1145.85,0.2692,0.37485,0.77374,0.91665,0.83589,0.85937,0.83019,0.31667,0.76452,0.81741,4.40908e-05,4.40908e-05,4.40908e-05
95,1156.8,0.26765,0.37981,0.77499,0.91234,0.83246,0.86404,0.84197,0.31267,0.76472,0.8173,3.85864e-05,3.85864e-05,3.85864e-05
96,1167.7,0.27243,0.37923,0.77041,0.91322,0.82787,0.86482,0.83378,0.31479,0.76108,0.81829,3.3082e-05,3.3082e-05,3.3082e-05
97,1178.64,0.26789,0.37961,0.77843,0.91423,0.82528,0.86707,0.84082,0.31713,0.76325,0.81646,2.75776e-05,2.75776e-05,2.75776e-05
98,1189.9,0.27625,0.3778,0.78527,0.91773,0.82486,0.90429,0.87804,0.3114,0.76618,0.81811,2.20732e-05,2.20732e-05,2.20732e-05
99,1201.21,0.25618,0.36363,0.77025,0.91965,0.82396,0.86707,0.83698,0.31301,0.77601,0.81767,1.65688e-05,1.65688e-05,1.65688e-05
100,1212.41,0.25833,0.36782,0.77256,0.92078,0.82351,0.86707,0.84088,0.31627,0.77767,0.81828,1.10644e-05,1.10644e-05,1.10644e-05
